rank,code,city,passengers,lat,lon
86,YVR,"VANCOUVER BC, CA (YVR)",17193080,49.193889,-123.184444
87,TXL,"BERLIN, DE (TXL)",16919820,52.559686,13.287711
88,SAN,"SAN DIEGO CA, US (SAN)",16836027,32.733556,-117.189667
89,TPA,"TAMPA FL, US (TPA)",16732051,27.975472,-82.53325
90,CGH,"SÃO PAULO, BR (CGH)",16687731,-23.626692,-46.655375
91,BSB,"BRASILIA, BR (BSB)",15801122,-15.8711,-47.918625
92,CTS,"SAPPORO, JP (CTS)",15773073,42.7752,141.692283
93,XMN,"XIAMEN, CN (XMN)",15753183,24.544036,118.127739
94,RUH,"RIYADH, SA (RUH)",15432950,24.95764,46.698776
95,FUK,"FUKUOKA, JP (FUK)",15431078,33.585942,130.450686
96,GIG,"RIO DE JANEIRO, BR (GIG)",15184350,-22.808903,-43.243647
97,HEL,"HELSINKI, FI (HEL)",14851675,60.317222,24.963333
98,LIS,"LISBON, PT (LIS)",14791260,38.781311,-9.135919
99,ATH,"ATHENS, GR (ATH)",14428032,37.936358,23.944467
100,AKL,"AUCKLAND, NZ (AKL)",14012329,-37.008056,174.791667
101,SGN,"SAIGON, VN (SGN)",16000000,10.8231,106.6297
